Artist and Title,Daily Streams,Streams,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,song_name,speechiness,tempo,time_signature,track_href,type,uri,valence
"['Harry Styles', 'As It Was']","1,618,590","3,633,339,736",0.342,https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e,harry styles,0.52,167303.0,0.731,4Dvkj6JhhA12EX05fT7y2e,0.00101,6.0,0.311,-5.338,0.0,87.0,as it was,0.0557,173.93,4.0,https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e,audio_features,spotify:track:4Dvkj6JhhA12EX05fT7y2e,0.662
"['SZA', 'Kill Bill']","1,918,330","2,186,838,653",0.0521,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,sza,0.644,153947.0,0.735,1Qrg8KqiBpW07V7PNxwwwL,0.144,8.0,0.161,-5.747,1.0,86.0,kill bill,0.0391,88.98,4.0,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,audio_features,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.418
"['Manuel Turizo', 'La Bachata']","1,040,570","1,980,184,177",0.583,https://api.spotify.com/v1/audio-analysis/3tt9i3Hhzq84dPS8H7iSiJ,manuel turizo,0.835,162638.0,0.679,3tt9i3Hhzq84dPS8H7iSiJ,1.98e-06,7.0,0.218,-5.329,0.0,82.0,la bachata,0.0364,124.98,4.0,https://api.spotify.com/v1/tracks/3tt9i3Hhzq84dPS8H7iSiJ,audio_features,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,0.85
"['Bad Bunny', 'Me Porto Bonito']","730,921","1,943,322,630",0.0901,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,bad bunny,0.911,178567.0,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,2.68e-05,1.0,0.0933,-5.105,0.0,81.0,me porto bonito,0.0817,92.005,4.0,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,audio_features,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,0.425
"['David Guetta', 'I’m Good (Blue)']","1,387,697","1,889,030,676",0.00383,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,david guetta,0.561,175238.0,0.965,4uUG5RXrOk84mYEfFvj3cK,7.07e-06,7.0,0.371,-3.673,0.0,85.0,i’m good (blue),0.0343,128.04,4.0,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,audio_features,spotify:track:4uUG5RXrOk84mYEfFvj3cK,0.304
"['Bizarrap', 'Quevedo: Bzrp Music Sessions, Vol. 52']","673,123","1,804,322,641",0.0125,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,bizarrap,0.621,198938.0,0.782,2tTmW7RDtMQtBk7m2rYeSw,0.033,2.0,0.23,-5.548,1.0,80.0,"quevedo: bzrp music sessions, vol. 52",0.044,128.033,4.0,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,audio_features,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,0.55
"['Taylor Swift', 'Anti-Hero']","820,803","1,709,480,212",0.121,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,taylor swift,0.633,200690.0,0.648,0V3wPSX9ygBnCm8psDIegu,2.62e-06,4.0,0.161,-6.645,1.0,81.0,anti-hero,0.062,96.888,4.0,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,audio_features,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.49
"['Sam Smith', 'Unholy']","656,359","1,670,955,666",0.0138,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,sam smith,0.719,156943.0,0.454,3nqQXoyQOWXiESFLlDF1hG,4.83e-06,2.0,0.318,-7.384,1.0,77.0,unholy,0.0707,131.007,4.0,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,audio_features,spotify:track:3nqQXoyQOWXiESFLlDF1hG,0.224
"['Bad Bunny', 'Tití Me Preguntó']","537,287","1,610,741,221",0.0993,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,bad bunny,0.65,243717.0,0.715,1IHWl5LamUGEuP4ozKQSXZ,0.000291,5.0,0.126,-5.198,0.0,79.0,tití me preguntó,0.253,106.672,4.0,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,audio_features,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,0.187
"['Bad Bunny', 'Ojitos Lindos']","653,389","1,538,486,564",0.08,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,bad bunny,0.647,258299.0,0.686,3k3NWokhRRkEPhCzPmV8TW,1.34e-06,3.0,0.528,-5.745,0.0,80.0,ojitos lindos,0.0413,79.928,4.0,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,audio_features,spotify:track:3k3NWokhRRkEPhCzPmV8TW,0.268
