Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,Daily Streams
2000,0.00143,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,0.513,200040.0,0.73,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1.0,0.0897,-5.94,1.0,87.0,0.0598,4560739811,171.001,4.0,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.334,2020,"1,662,298"
2001,0.44,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,Glass Animals,0.761,238805.0,0.525,3USxtqRwSYz57Ewm6wWRMp,6.7e-06,11.0,0.0921,-6.9,1.0,84.0,0.0944,3195906516,80.87,4.0,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,Heat Waves,audio_features,spotify:track:3USxtqRwSYz57Ewm6wWRMp,0.531,2020,"1,011,991"
2002,0.00883,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,Dua Lipa,0.702,203064.0,0.825,5nujrmhLynf4yMoMtj8AQF,0.0,6.0,0.0674,-3.787,0.0,79.0,0.0601,2190634457,102.977,4.0,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,Levitating,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,0.915,2020,"784,576"
2002,0.00883,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,Dua Lipa,0.702,203064.0,0.825,5nujrmhLynf4yMoMtj8AQF,0.0,6.0,0.0674,-3.787,0.0,79.0,0.0601,2190634457,102.977,4.0,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,Levitating,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,0.915,2020,"281,821"
2003,0.0212,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,The Weeknd,0.679,215627.0,0.825,5QO79kh1waicV47BqGRL3g,1.21e-05,0.0,0.543,-5.487,1.0,84.0,0.0309,2164949384,118.049,4.0,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,Save Your Tears,audio_features,spotify:track:5QO79kh1waicV47BqGRL3g,0.644,2020,"934,325"
2004,0.401,https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49,Bad Bunny,0.731,205090.0,0.573,4MzXwWMhyBbmu6hOcLVD49,5.22e-05,4.0,0.113,-10.059,0.0,75.0,0.0544,2083293770,109.928,4.0,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,DÁKITI,audio_features,spotify:track:4MzXwWMhyBbmu6hOcLVD49,0.145,2020,"536,463"
2005,0.0112,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,BTS,0.746,199054.0,0.765,5QDLhrAOJJdNAmCTJ8xMyW,0.0,6.0,0.0936,-4.41,0.0,78.0,0.0993,1961449682,114.044,4.0,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,audio_features,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,0.737,2020,"495,790"
2006,0.584,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,Conan Gray,0.357,198040.0,0.425,4xqrdfXkTW4T0RauPLv3WA,0.0,5.0,0.322,-7.301,1.0,83.0,0.0333,1830897757,102.078,3.0,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,Heather,audio_features,spotify:track:4xqrdfXkTW4T0RauPLv3WA,0.27,2020,"1,086,785"
2007,0.0684,https://api.spotify.com/v1/audio-analysis/7DnAm9FOTWE3cUvso43HhI,Ava Max,0.72,187436.0,0.706,7DnAm9FOTWE3cUvso43HhI,0.0,1.0,0.166,-4.719,1.0,81.0,0.0473,1768839937,133.002,4.0,https://api.spotify.com/v1/tracks/7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,audio_features,spotify:track:7DnAm9FOTWE3cUvso43HhI,0.62,2020,"476,681"
2008,0.731,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,Powfu,0.726,173333.0,0.431,7eJMfftS33KTjuF7lTsMCx,0.0,8.0,0.696,-8.765,0.0,78.0,0.135,1737867237,144.026,4.0,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),audio_features,spotify:track:7eJMfftS33KTjuF7lTsMCx,0.348,2020,"543,364"
