Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,popularity,Daily Streams
1587,0.873,https://api.spotify.com/v1/audio-analysis/2CzUlaKN1mvb0szagSR3ux,Brent Faiyaz,0.679,236704.0,0.281,2CzUlaKN1mvb0szagSR3ux,0.00335,3.0,0.215,-15.506,0.0,0.184,225060453,74.996,4.0,https://api.spotify.com/v1/tracks/2CzUlaKN1mvb0szagSR3ux,Fuck The World (Summer in London),audio_features,spotify:track:2CzUlaKN1mvb0szagSR3ux,0.234,2019,64.0,"60,333"
1588,0.00165,https://api.spotify.com/v1/audio-analysis/0nYvjcSlCgjcwogQAwIwNp,Luke Combs,0.572,194867.0,0.949,0nYvjcSlCgjcwogQAwIwNp,0.000195,4.0,0.163,-4.865,1.0,0.06,225032607,118.974,4.0,https://api.spotify.com/v1/tracks/0nYvjcSlCgjcwogQAwIwNp,Lovin' On You,audio_features,spotify:track:0nYvjcSlCgjcwogQAwIwNp,0.53,2019,66.0,"68,454"
1589,0.56,https://api.spotify.com/v1/audio-analysis/0ojpEubhy4JNeVftmVuiN7,Vishal Mishra,0.607,272533.0,0.713,0ojpEubhy4JNeVftmVuiN7,4.98e-05,4.0,0.101,-5.105,1.0,0.03,224918083,124.868,4.0,https://api.spotify.com/v1/tracks/0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,audio_features,spotify:track:0ojpEubhy4JNeVftmVuiN7,0.611,2019,70.0,"174,690"
1590,0.0029,https://api.spotify.com/v1/audio-analysis/30uCmqegKQnH5AbOE51gPD,Confetti,0.731,169413.0,0.675,30uCmqegKQnH5AbOE51gPD,0.000617,5.0,0.49,-5.069,0.0,0.27,224436349,84.942,4.0,https://api.spotify.com/v1/tracks/30uCmqegKQnH5AbOE51gPD,Ghost,audio_features,spotify:track:30uCmqegKQnH5AbOE51gPD,0.715,2019,68.0,"124,988"
1591,0.0532,https://api.spotify.com/v1/audio-analysis/4YqCBC4FwzGXuhixt5cgmm,Ghetto Kids,0.847,171000.0,0.736,4YqCBC4FwzGXuhixt5cgmm,0.000142,1.0,0.0302,-4.542,1.0,0.266,224376074,160.012,4.0,https://api.spotify.com/v1/tracks/4YqCBC4FwzGXuhixt5cgmm,Tra Tra Tra Remix,audio_features,spotify:track:4YqCBC4FwzGXuhixt5cgmm,0.876,2019,65.0,"92,920"
1592,0.0714,https://api.spotify.com/v1/audio-analysis/12ILYlOEfWL8ei0BEgFJn0,Steve Lacy,0.838,224444.0,0.535,12ILYlOEfWL8ei0BEgFJn0,0.000302,11.0,0.208,-6.303,0.0,0.0432,224230807,119.946,4.0,https://api.spotify.com/v1/tracks/12ILYlOEfWL8ei0BEgFJn0,N Side,audio_features,spotify:track:12ILYlOEfWL8ei0BEgFJn0,0.894,2019,69.0,"115,907"
1593,0.469,https://api.spotify.com/v1/audio-analysis/6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,0.637,175219.0,0.877,6QwFUcPc5nhsqZuhXUYtV7,0.0,4.0,0.343,-3.68,0.0,0.198,224206878,118.889,4.0,https://api.spotify.com/v1/tracks/6QwFUcPc5nhsqZuhXUYtV7,Tijolão,audio_features,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,0.691,2019,60.0,"42,514"
1594,0.842,https://api.spotify.com/v1/audio-analysis/1Nmcs8zk7LfcvHRgLtTM5J,Orochi,0.473,221143.0,0.427,1Nmcs8zk7LfcvHRgLtTM5J,0.0,7.0,0.0839,-9.693,0.0,0.066,223741681,138.655,4.0,https://api.spotify.com/v1/tracks/1Nmcs8zk7LfcvHRgLtTM5J,Amor de Fim de Noite,audio_features,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,0.694,2019,69.0,"207,320"
1595,0.0884,https://api.spotify.com/v1/audio-analysis/3nD8VUJphfkoxSjy4lmeP1,JR Torres,0.821,184412.0,0.822,3nD8VUJphfkoxSjy4lmeP1,2.02e-06,2.0,0.026,-5.565,1.0,0.0424,223729400,137.929,3.0,https://api.spotify.com/v1/tracks/3nD8VUJphfkoxSjy4lmeP1,Un Suspiró,audio_features,spotify:track:3nD8VUJphfkoxSjy4lmeP1,0.955,2019,70.0,"255,696"
1596,0.0683,https://api.spotify.com/v1/audio-analysis/7oBW80497A8axagr4aC9U6,Polo G,0.506,182387.0,0.45,7oBW80497A8axagr4aC9U6,0.000225,2.0,0.103,-12.565,1.0,0.364,222419656,177.978,4.0,https://api.spotify.com/v1/tracks/7oBW80497A8axagr4aC9U6,Finer Things,audio_features,spotify:track:7oBW80497A8axagr4aC9U6,0.131,2019,64.0,"58,622"
