Artist and Title,Daily Streams,Streams,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,song_name,speechiness,tempo,time_signature,track_href,type,uri,valence
"['Anirudh Ravichander', 'Idhazhin Oram (From ""3 (Tamil)"")']","109,337","128,945,125",0.22,https://api.spotify.com/v1/audio-analysis/4lpyp4aHbspeOsDuJtPZMm,anirudh ravichander,0.65,204867.0,0.783,4lpyp4aHbspeOsDuJtPZMm,3.71e-06,7.0,0.182,-6.197,0.0,25.0,"idhazhin oram (from ""3 (tamil)"")",0.0377,109.959,4.0,https://api.spotify.com/v1/tracks/4lpyp4aHbspeOsDuJtPZMm,audio_features,spotify:track:4lpyp4aHbspeOsDuJtPZMm,0.302
"['6arelyhuman', 'XOXO (Kisses Hugs)']","113,131","128,600,528",0.0295,https://api.spotify.com/v1/audio-analysis/2otVGlTIMyGhIAyCcwb79v,6arelyhuman,0.589,130786.0,0.94,2otVGlTIMyGhIAyCcwb79v,0.0,11.0,0.176,-2.328,0.0,67.0,xoxo (kisses hugs),0.0445,118.007,4.0,https://api.spotify.com/v1/tracks/2otVGlTIMyGhIAyCcwb79v,audio_features,spotify:track:2otVGlTIMyGhIAyCcwb79v,0.83
"['Intocable', 'Alguien Te Va A Hacer Llorar']","77,522","128,107,828",0.39,https://api.spotify.com/v1/audio-analysis/1OYoXMNCUYlpDyMONw2sNc,intocable,0.721,249413.0,0.591,1OYoXMNCUYlpDyMONw2sNc,0.0,6.0,0.135,-7.611,0.0,64.0,alguien te va a hacer llorar,0.0403,125.118,4.0,https://api.spotify.com/v1/tracks/1OYoXMNCUYlpDyMONw2sNc,audio_features,spotify:track:1OYoXMNCUYlpDyMONw2sNc,0.916
"['Brent Faiyaz', 'Upset']","291,542","128,027,519",0.487,https://api.spotify.com/v1/audio-analysis/5iwUwADk4uQUvgMF6PlTRl,brent faiyaz,0.856,177900.0,0.5,5iwUwADk4uQUvgMF6PlTRl,0.0,11.0,0.104,-9.393,1.0,75.0,upset,0.18,135.03,4.0,https://api.spotify.com/v1/tracks/5iwUwADk4uQUvgMF6PlTRl,audio_features,spotify:track:5iwUwADk4uQUvgMF6PlTRl,0.886
"['Connor Price', 'Violet']","78,243","127,736,147",0.0177,https://api.spotify.com/v1/audio-analysis/7IezwtVIJIPC36LpKMR9d7,connor price,0.924,122880.0,0.716,7IezwtVIJIPC36LpKMR9d7,1.15e-06,8.0,0.128,-7.158,0.0,62.0,violet,0.0541,119.973,4.0,https://api.spotify.com/v1/tracks/7IezwtVIJIPC36LpKMR9d7,audio_features,spotify:track:7IezwtVIJIPC36LpKMR9d7,0.48
"['V', 'Blue']","123,783","127,463,099",0.0807,https://api.spotify.com/v1/audio-analysis/11iIikXxC6NP0Ma8vMD27x,v,0.467,155933.0,0.757,11iIikXxC6NP0Ma8vMD27x,0.908,3.0,0.0876,-5.093,1.0,78.0,blue,0.033,82.282,4.0,https://api.spotify.com/v1/tracks/11iIikXxC6NP0Ma8vMD27x,audio_features,spotify:track:11iIikXxC6NP0Ma8vMD27x,0.433
"['Intocable', 'Enséñame A Olvidarte']","99,269","127,327,686",0.528,https://api.spotify.com/v1/audio-analysis/2Ku6P1U8QkOQcLEXTRxygX,intocable,0.426,202267.0,0.815,2Ku6P1U8QkOQcLEXTRxygX,0.0,5.0,0.129,-6.174,1.0,65.0,enséñame a olvidarte,0.231,171.844,4.0,https://api.spotify.com/v1/tracks/2Ku6P1U8QkOQcLEXTRxygX,audio_features,spotify:track:2Ku6P1U8QkOQcLEXTRxygX,0.715
"['Anirudh Ravichander', 'Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")']","63,806","127,272,788",0.0908,https://api.spotify.com/v1/audio-analysis/2vkNA9I029dTwX0y6d59Sc,anirudh ravichander,0.827,209032.0,0.717,2vkNA9I029dTwX0y6d59Sc,0.000523,11.0,0.0511,-7.755,0.0,63.0,"dippam dappam (from ""kaathuvaakula rendu kaadhal"")",0.111,123.987,4.0,https://api.spotify.com/v1/tracks/2vkNA9I029dTwX0y6d59Sc,audio_features,spotify:track:2vkNA9I029dTwX0y6d59Sc,0.772
"['Henrique & Juliano', 'Rancorosa']","91,738","127,271,533",0.308,https://api.spotify.com/v1/audio-analysis/7CUQQLRMIeSfa4m2uQcRHp,henrique & juliano,0.644,181458.0,0.872,7CUQQLRMIeSfa4m2uQcRHp,0.0,5.0,0.536,-4.187,1.0,60.0,rancorosa,0.0563,142.02,4.0,https://api.spotify.com/v1/tracks/7CUQQLRMIeSfa4m2uQcRHp,audio_features,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,0.507
"['Fabio Asher', 'Tanpa Rasa Bersalah']","232,089","127,166,516",0.732,https://api.spotify.com/v1/audio-analysis/4Trhv4MBai2ay6vF5ovC7g,fabio asher,0.601,278000.0,0.301,4Trhv4MBai2ay6vF5ovC7g,0.0,0.0,0.156,-11.74,1.0,71.0,tanpa rasa bersalah,0.0326,120.047,4.0,https://api.spotify.com/v1/tracks/4Trhv4MBai2ay6vF5ovC7g,audio_features,spotify:track:4Trhv4MBai2ay6vF5ovC7g,0.21
"['Jimin', 'Alone']","44,686","127,082,895",0.283,https://api.spotify.com/v1/audio-analysis/5Hfnps0jaWFpYg55WOPexG,jimin,0.593,211251.0,0.446,5Hfnps0jaWFpYg55WOPexG,0.0,0.0,0.119,-7.776,0.0,62.0,alone,0.0266,102.057,4.0,https://api.spotify.com/v1/tracks/5Hfnps0jaWFpYg55WOPexG,audio_features,spotify:track:5Hfnps0jaWFpYg55WOPexG,0.168
"['Arijit Singh', 'Aabaad Barbaad (From ""Ludo"")']","78,685","126,718,911",0.686,https://api.spotify.com/v1/audio-analysis/21N56AMIM47bNLlpjnvW8m,arijit singh,0.626,309103.0,0.522,21N56AMIM47bNLlpjnvW8m,0.0,7.0,0.41,-5.857,1.0,22.0,"aabaad barbaad (from ""ludo"")",0.0317,118.002,4.0,https://api.spotify.com/v1/tracks/21N56AMIM47bNLlpjnvW8m,audio_features,spotify:track:21N56AMIM47bNLlpjnvW8m,0.628
"['Grupo Menos É Mais', 'Adorei']","201,787","126,687,566",0.642,https://api.spotify.com/v1/audio-analysis/1jweGFaVZxEVrOHKsLpPY4,grupo menos é mais,0.746,179452.0,0.668,1jweGFaVZxEVrOHKsLpPY4,0.0,7.0,0.109,-6.496,1.0,68.0,adorei,0.0398,151.853,4.0,https://api.spotify.com/v1/tracks/1jweGFaVZxEVrOHKsLpPY4,audio_features,spotify:track:1jweGFaVZxEVrOHKsLpPY4,0.798
"['Mrs. GREEN APPLE', 'Soranji']","205,155","126,457,147",0.0693,https://api.spotify.com/v1/audio-analysis/3YML5IHoqWbw9c9vJJvrvM,mrs. green apple,0.48,343253.0,0.669,3YML5IHoqWbw9c9vJJvrvM,0.0,5.0,0.149,-5.168,1.0,70.0,soranji,0.0431,155.89,4.0,https://api.spotify.com/v1/tracks/3YML5IHoqWbw9c9vJJvrvM,audio_features,spotify:track:3YML5IHoqWbw9c9vJJvrvM,0.378
"['CHINCHILLA', 'Little Girl Gone']","194,513","126,422,540",0.175,https://api.spotify.com/v1/audio-analysis/56rpEOCBATYItSa4yPksfe,chinchilla,0.707,188596.0,0.672,56rpEOCBATYItSa4yPksfe,0.0,1.0,0.082,-6.351,0.0,71.0,little girl gone,0.247,159.942,4.0,https://api.spotify.com/v1/tracks/56rpEOCBATYItSa4yPksfe,audio_features,spotify:track:56rpEOCBATYItSa4yPksfe,0.496
"['Maluma', 'Junio']","26,734","126,342,834",0.0999,https://api.spotify.com/v1/audio-analysis/4XqXNU8MwPHwbgZmNXmAdc,maluma,0.85,168601.0,0.756,4XqXNU8MwPHwbgZmNXmAdc,0.0,11.0,0.0873,-3.439,0.0,58.0,junio,0.0407,120.024,4.0,https://api.spotify.com/v1/tracks/4XqXNU8MwPHwbgZmNXmAdc,audio_features,spotify:track:4XqXNU8MwPHwbgZmNXmAdc,0.896
"['Morgan Wallen', 'Sunrise']","86,988","126,181,261",0.27,https://api.spotify.com/v1/audio-analysis/0JtgoDDf0ggWaoXCGhcOoT,morgan wallen,0.614,182522.0,0.773,0JtgoDDf0ggWaoXCGhcOoT,1.45e-06,2.0,0.0778,-5.053,0.0,68.0,sunrise,0.03,139.974,4.0,https://api.spotify.com/v1/tracks/0JtgoDDf0ggWaoXCGhcOoT,audio_features,spotify:track:0JtgoDDf0ggWaoXCGhcOoT,0.404
"['Bad Bunny', 'MERCEDES CAROTA']","106,991","125,989,932",0.385,https://api.spotify.com/v1/audio-analysis/3TYOH7ta0101NYssoH5GlU,bad bunny,0.822,202635.0,0.487,3TYOH7ta0101NYssoH5GlU,6.55e-05,1.0,0.115,-5.815,1.0,69.0,mercedes carota,0.223,134.046,4.0,https://api.spotify.com/v1/tracks/3TYOH7ta0101NYssoH5GlU,audio_features,spotify:track:3TYOH7ta0101NYssoH5GlU,0.193
"['Russell Dickerson', 'She Likes It']","32,279","125,908,059",0.509,https://api.spotify.com/v1/audio-analysis/4uJDDG8vXJ6fZHtTfrPfMX,russell dickerson,0.79,163311.0,0.325,4uJDDG8vXJ6fZHtTfrPfMX,0.0,4.0,0.155,-11.689,1.0,56.0,she likes it,0.127,126.877,4.0,https://api.spotify.com/v1/tracks/4uJDDG8vXJ6fZHtTfrPfMX,audio_features,spotify:track:4uJDDG8vXJ6fZHtTfrPfMX,0.539
