Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,Daily Streams
3058,0.161,https://api.spotify.com/v1/audio-analysis/6ebo7CQn4ILLGvXRmXHhQz,TINI,0.85,165275.0,0.546,6ebo7CQn4ILLGvXRmXHhQz,6.13e-06,2.0,0.296,-4.534,1.0,76.0,0.0654,810841983,92.002,4.0,https://api.spotify.com/v1/tracks/6ebo7CQn4ILLGvXRmXHhQz,Miénteme,audio_features,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,0.906,2021,"440,436"
3059,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,Travis Scott,0.841,243837.0,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7.0,0.149,-3.37,1.0,85.0,0.0484,804759808,130.049,4.0,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,Goosebumps,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43,2021,"235,999"
3060,0.0104,https://api.spotify.com/v1/audio-analysis/1nahzW3kfMuwReTka28tH5,Justin Bieber,0.658,170813.0,0.634,1nahzW3kfMuwReTka28tH5,0.0,1.0,0.12,-6.068,0.0,69.0,0.0431,781530608,140.002,4.0,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5,Hold On,audio_features,spotify:track:1nahzW3kfMuwReTka28tH5,0.302,2021,"188,387"
3061,0.0242,https://api.spotify.com/v1/audio-analysis/0ErK6K0kYr0Ow2RkPMhmMs,Little Mix,0.773,246240.0,0.747,0ErK6K0kYr0Ow2RkPMhmMs,8.99e-06,5.0,0.109,-4.061,1.0,69.0,0.0885,778929107,126.014,4.0,https://api.spotify.com/v1/tracks/0ErK6K0kYr0Ow2RkPMhmMs,Shout Out to My Ex,audio_features,spotify:track:0ErK6K0kYr0Ow2RkPMhmMs,0.801,2021,"131,776"
3062,0.0635,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,Drake,0.849,242966.0,0.424,2BcMwX1MPV6ZHP4tUT9uq6,0.0,5.0,0.0834,-9.579,0.0,74.0,0.324,776432196,145.887,4.0,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk,audio_features,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,0.153,2021,"258,995"
3063,0.0377,https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL,Maroon 5,0.713,227395.0,0.676,5zFglKYiknIxks8geR8rcL,0.0,10.0,0.154,-5.483,1.0,74.0,0.027,773536279,99.048,4.0,https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,Beautiful Mistakes,audio_features,spotify:track:5zFglKYiknIxks8geR8rcL,0.721,2021,"270,606"
3064,0.0623,https://api.spotify.com/v1/audio-analysis/1qrpoAMXodY6895hGKoUpA,Taylor Swift,0.632,231124.0,0.773,1qrpoAMXodY6895hGKoUpA,0.0,6.0,0.0885,-4.856,1.0,79.0,0.0346,773524557,130.033,4.0,https://api.spotify.com/v1/tracks/1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),audio_features,spotify:track:1qrpoAMXodY6895hGKoUpA,0.474,2021,"692,407"
3065,0.194,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,ATB,0.669,150053.0,0.784,5YaskwnGDZFDRipaqzbwQx,6.28e-06,7.0,0.115,-5.603,1.0,74.0,0.112,768956697,125.993,4.0,https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),audio_features,spotify:track:5YaskwnGDZFDRipaqzbwQx,0.517,2021,"232,282"
3066,0.0689,https://api.spotify.com/v1/audio-analysis/40FUdLENDY3sZmHEM25lpE,MEDUZA,0.632,167903.0,0.595,40FUdLENDY3sZmHEM25lpE,0.0,8.0,0.209,-7.644,0.0,67.0,0.0401,754647043,124.114,4.0,https://api.spotify.com/v1/tracks/40FUdLENDY3sZmHEM25lpE,Paradise,audio_features,spotify:track:40FUdLENDY3sZmHEM25lpE,0.435,2021,"131,457"
3067,0.207,https://api.spotify.com/v1/audio-analysis/0G2zPzWqVjR68iNPmx2TBe,Mora,0.659,273474.0,0.688,0G2zPzWqVjR68iNPmx2TBe,0.0,6.0,0.113,-4.649,1.0,73.0,0.0673,742858648,153.979,4.0,https://api.spotify.com/v1/tracks/0G2zPzWqVjR68iNPmx2TBe,Volando,audio_features,spotify:track:0G2zPzWqVjR68iNPmx2TBe,0.632,2021,"215,285"
